Timestamp,where,what,when,description,imgURL,eventURL
4/15/2018 15:26:37,Barcelona - Fabra i Coats,Mixtur Festival,4/28/2018,I was selected for the Mixtur Festival to work on a new piece for piano solo.,https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/mixtur.jpg,http://mixturbcn.com/
4/15/2018 15:28:05,"Mykonos, Greece",Delian Academy,6/16/2018,"I was honored to be selected among 136 applications at Delian Academy 2018 edition! Looking forward to present my paper ""Composing Database: Opening A Space For The Concept Of An Anarchic Unwork Of Art"" at the symposium, and to the premiere of my new unwork for four channels titled ""untitled2""",https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/delian.jpg,https://www.delianacademy.com/
4/15/2018 15:29:45,"Paris, France",Manifeste,6/18/2018,"I will take part in a workshop for Ensemble music without direction, under the guidance of Stefano Gervasoni during Manifeste festival at IRCAM, with members of the Ensemble Intercontemporain.",https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/manifeste.jpg,https://manifeste.ircam.fr/
4/15/2018 16:06:18,"Blacksburg, VA, USA",Cube Fest,8/10/2018,"My piece ""untitled"" for Live Video and Electronics was selected for performance at the 149 speaker array at the Cube, during Cube Fest 2018. I will be there performing, moving a lot of noise in that space :)",https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/cube.jpg,https://icat.vt.edu/event/cube-fest/
8/24/2018 16:45:28,"Tehran, Iran",Tehran International Electronic Music Week,9/1/2018,"I am delighted to present my video work ""say under"" based on chaotic poetry, turbulent ink and images of an unnamed city at the second Tehran International Electronic Music Festival which will be held in Tehran, Iran. I am very greatful to have been selected for this performance by the Offborders Festival for Electroactoustic music, visual, and performing arts from Greece",https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/tehran.jpg,http://www.yarava.com/fa/
4/24/2019 4:54:58,"ICMC/NYCEMF 2019 - Concert 24 - Grand Hall, Kimmel Center",Say Under,6/23/2019,Thrilled to have my piece `say under' performed at ICMC-NYCEMF this year. ,https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/nycemf.png,https://nycemf.org/wp-content/uploads/2019/06/2019-Program-Book-with-cover-1.pdf
9/21/2019 22:41:01,Advanced Computing Center for the Arts and Design,Vituoso Chances,9/23/2019,"The composer-performer duo Atelier Avant Austria (Se-Lien Chuang and Andreas Weixler) will present a portrait concert at the Advanced Computing Center for the Arts and Design (ACCAD).

The Austrian/Taiwanese artists will perform a concert of algorithmically generated sound, improvisation, real time audiovisual processing, electroacoustic music, and video. Joining them will be the OSU Sonic Arts Ensemble (co-directed by Marc Ainger and Federico Camara Halac), and flutist Ann Stimson.

ABOUT THE ARTISTS
Andreas Weixler & Se-Lien Chuang  founded Atelier Avant Austria in 1996 as an artist co-op for composition, computer music and multimedia based in Austria.  In 2018, Andreas and Sei-LIn received the 2018 ICMA award for the best European performance.
Currently, both are specializing in intermedia concerts of improvisation and audiovisual real-time computing.

This special concert presentation is hosted by Livable Futures, an initiative of the Global Arts and Humanities Discovery Theme; The Ohio State University School of music and Advanced Computing Center for the Arts and Design (ACCAD),with kind support of the Austrian Cultural Forum, New York City (ACFNY).",https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/525072_premiere_austrian_improvisers_square.jpg,https://accad.osu.edu/news/vituoso-chances-september-23-8pm
11/7/2019 10:32:08,Instituto Tecnológico y de Estudios Superiores de Monterre,Festival Ecos Urbanos (untitled2),11/14/2019,"I am thrilled to have my piece 'untitled2' closing the 2nd event of the Ecos Urbanos, Festival de Arte Sonoro y Transmedia 2019. ",https://www.facebook.com/FestivalEcosUrbanos/photos/a.547944598728318/1117259641796808/?type=3,https://www.facebook.com/FestivalEcosUrbanos/
7/2/2020 23:02:13,Australian National University School of Music,ACMC2020 (untitled2),7/9/2020,"ACMC is the annual gathering of the Australasian Computer Music Association, a place to show and discuss research and artistic progress in computer/electronic music. It's a festival of performances, installations, workshops, and tutorials that inspire, challenge, and showcase our community.

This year’s conference theme is inclusion. We want to highlight the diverse range of people who contribute to Australia’s computer/electronic music culture but may not normally attend an academic conference, including artists and scholars who are young/emerging, from regional/remote areas, who have a disability, who are First Nations People, who have low/no income, who are engaged in community music making, or who simply work outside of academia and mainstream institutions.

The conference is hosted by the ANU School of Music and Research School of Computer Science, College of Engineering and Computer Science. Fun fact: ACMC was last hosted in Canberra in 2010!

The Australasian Computer Music Conference will take place July 3–11, 2020 as an online event.",https://computermusic.org.au/media/2013/08/cropped-acma-logo-big.png,https://acmc2020.com/poster_21.html
10/12/2020 19:00:49,"Institute for Advanced Computational Science (IACS), Stony Brook University, New York, USA Center for Computer Research in Music and Acoustics (CCRMA), Stanford University, California, USA Edinburgh Napier University, Scotland Orpheus Institute, Ghent, Belgium",NOWNET ARTS CONFERENCE 2020,11/8/2020,"The ACCAD Sonic Arts Ensemble (United States, Argentina, Germany) - Marc Ainger, Fede Cámara Halac, Directors - Ohio State University. 

NowNet Arts Conference is an annual event for artists, technologists, researchers, educators, and industry professionals advancing topics in contemporary network arts for the ongoing development of the field. The 2020 theme “Network Arts and Social Distance: Capacities and Innovations” is a response to the COVID-19 pandemic and changes in the world due to social distancing. Network arts is a prominent field for continuation of live performance with capacities for events that take place entirely online or events with in-person participants dispersed across multiple locations. Historical and current artistic network arts works show the artistic significance in transcending distance and new expressions that are achieved through this medium. While the capacities are inherent to the field, social distancing calls for further innovations to adapt the artistic, technological, and educational strategies to this new setting. The NowNet Arts Conference 2020 is a program of papers, presentations, and concert demonstrations that feature this topic and generate new innovations for this work forward.

The NowNet Arts Conference 2020 is a virtual event this year. Presenters and attendees can participate from any remote site via Zoom. 

More information here: https://nownetarts.org/conference-2020",https://raw.githubusercontent.com/fdch/fdch.github.io/master/img/NN_Conf2020_828x315.jpg,https://raw.githubusercontent.com/fdch/fdch.github.io/master/writings/NowNet+Arts+Conference+2020_Schedule.pdf
